timestamp,name
2026-08-05T16:20:04+00:00,rp_asset_class_trend_hedge_SPY_GLD_252_252
2026-08-05T16:20:08+00:00,rp_static_spread_carry_GLD_UUP_a
2026-08-05T16:20:10+00:00,rp_asset_class_trend_hedge_TLT_DBC_252_60
2026-08-08T04:35:58+00:00,rp_single_asset_trend_GLD_126
2026-08-08T04:36:00+00:00,rp_single_asset_trend_SLV_63
2026-08-08T04:36:01+00:00,rp_cross_sectional_rank_momentum_126_2
2026-08-08T04:36:02+00:00,rp_single_asset_trend_VNQ_126
2026-08-08T04:36:03+00:00,rp_asset_class_trend_hedge_SPY_IEF_252_63
2026-08-08T04:36:12+00:00,rp_curve_carry_126
2026-08-08T04:36:13+00:00,rp_cross_sectional_rank_low_vol_63_3
2026-08-08T04:36:15+00:00,rp_asset_class_trend_hedge_VNQ_DBC_189_63
2026-08-08T04:36:18+00:00,rp_cross_sectional_rank_momentum_252_4
2026-08-08T04:36:19+00:00,rp_curve_carry_252
2026-08-08T04:36:21+00:00,rp_single_asset_trend_EEM_189
2026-08-08T04:36:24+00:00,rp_cross_sectional_rank_momentum_63_3
2026-08-08T04:36:26+00:00,rp_asset_class_trend_hedge_TLT_UUP_189_63
2026-08-08T04:36:27+00:00,rp_single_asset_trend_USO_126
2026-08-08T04:36:29+00:00,rp_curve_carry_189
2026-08-08T04:36:31+00:00,rp_static_spread_carry_LQD_IEF_a
